IAM,IAM_ID,YEAR,COUNTRY,PROJECT_NAME,PROJECT_ID,PROJECT_NUMBER,RELATED_PROJECT_NUMBER,PROJECT_TYPE,PROJECT_LOAN_AMOUNT,SECTOR,ISSUES,FILERS,FILING_DATE,ENVIRONMENTAL_CATEGORY,COMPLAINT_STATUS,DATE_CLOSED,HYPERLINK,REGISTRATION_START_DATE,REGISTRATION_END_DATE,ELIGIBILITY_START_DATE,ELIGIBILITY_END_DATE,DISPUTE_RESOLUTION_START_DATE,DISPUTE_RESOLUTION_END_DATE,COMPLIANCE_REVIEW_START_DATE,COMPLIANCE_REVIEW_END_DATE,MONITORING_START_DATE,MONITORING_END_DATE,IS_COMPLIANCE_REPORT_ISSUED,DOCUMENTS
ADB-SPF,25,2009,India, Himachal Pradesh Clean Energy Development Investment Program,India: Himachal Pradesh Clean Energy Development Investment Program,41627-013,,['Loan'],,Energy,['Environmental Impact Assessment'],, 30 Jan 2009,,Active,,/projects/41627-013/main, 30 Jan 2009,,,,,,,,,,,/sites/default/files/page/42458/india-hpcedip-complaint-letter-jan09.pdf
ADB-SPF,25,2009,People's Republic of China, Fuzhou Environmental Improvement Project,People's Republic of China: Fuzhou Environmental Improvement Project,35340-013,,['Loan'],,Water and other urban infrastructure and services,['Resettlement'],," 15 Jan 2009
English
Chinese
",,Closed,Completed,/projects/35340-013/main," 15 Jan 2009
English
Chinese
", 19 Jan 2009, 19 Jan 2009,," 23 Mar 2009
English
Chinese
",Completed,,,,,,/sites/default/files/page/42458/fuzhou-project.pdf
ADB-SPF,25,2007,Cambodia, Phnom Penh to Ho Chi Minh City Highway Project,Cambodia: Phnom Penh to Ho Chi Minh City Highway Project,30316-013,,['Loan'],,Transport,"['Compensation', 'Land Titling', 'Livelihood']",, 30 Jul 2007,,Approved,,/projects/30316-013/main, 30 Jul 2007, 6 Aug 2007, 6 Aug 2007,," 24 Oct 2007
English
Khmer
",,,,,,,/sites/default/files/page/42458/cam-rar-final-25feb2011.pdf
ADB-SPF,25,2007,Nepal, Urban and Environmental Improvement Project,Nepal: Urban and Environmental Improvement Project,32239-013,,['Loan'],,Finance;Health;Transport;Water and other urban infrastructure and services,"['Information', 'Consultation']",, 11 Jan 2007,,Closed,Completed,/projects/32239-013/main, 11 Jan 2007, 08 Feb 2007, 08 Feb 2007,,,,,,,,,/sites/default/files/page/42458/complaint-letter.pdf
ADB-SPF,25,2006,Viet Nam, GMS Mekong Tourism Development Project,Viet Nam: GMS Mekong Tourism Development Project,35345-013,,['Loan'],,Industry and trade,"['Compensation', 'Information']",," 1 letter
19 Dec 2006",,Closed,Completed,/projects/35345-013/main," 1 letter
19 Dec 2006", 9 Jan 2007, 9 Jan 2007,,,,,,,,,
ADB-SPF,25,2006,India, Assam Power Sector Development Project,India: Assam Power Sector Development Project,36318-013,,['Loan'],,Energy,['Procurement'],, 31 Oct 2006,,Closed,Completed,/projects/36318-013/main, 31 Oct 2006, registered and referred to relevant units in ADB, registered and referred to relevant units in ADB,,,,,,,,,
ADB-SPF,25,2006,Pakistan, National Highway Development Sector Investment Program,Pakistan: National Highway Development Sector Investment Program,37559-023,,['Loan'],,Transport,"['Land acquisition and compensation', 'Resettlement', 'Information']",, 9 Sep 2006,,Closed,Completed,/projects/37559-023/main, 9 Sep 2006, 10 Jan 2007, 10 Jan 2007, establishing contact and fielding a pre-eligibility inquiry," 12 Mar 2007English
Urdu
",Completed,,,,,,/sites/default/files/page/42458/complaint-letter-2231-sf-pak.pdf
ADB-SPF,25,2006,Nepal," Rural Electrification, Distribution and Transmission Project-Thankot-Chapagaun-Bhaktapur 132 kV Transmission Line","Nepal: Rural Electrification, Distribution and Transmission Project-Thankot-Chapagaun-Bhaktapur 132 kV Transmission Line",29471-013,,['Loan'],,Energy,"['Consultation', 'Compensation']",, 25 Apr 2006,,Closed,Completed,/projects/29471-013/main, 25 Apr 2006, 28 Apr 2006, 28 Apr 2006,,,,,,,,,
ADB-SPF,25,2006,Bangladesh, Khulna-Jessore Drainage Rehabilitation Project,Bangladesh: Khulna-Jessore Drainage Rehabilitation Project,21087,,['Loan'],,,"['Agricultural production', 'Community Participation']",, 4 Jan 2006,,Closed,Completed,/projects/ln1289/main, 4 Jan 2006, 4 Jan 2006, 4 Jan 2006,,,,,,,,,
ADB-SPF,25,2006,Pakistan, Chasma Right Bank Irrigation Project-Stage III,Pakistan: Chasma Right Bank Irrigation Project-Stage III,,,,,,"['Distributary link', 'Flooding']",, 14 Dec 2005,,,,, 14 Dec 2005, 15 Dec 2005, 15 Dec 2005, translations,,,,,,,,/sites/default/files/page/42458/pak-chasma-complaint.pdf
ADB-SPF,25,2005,Indonesia, Community Empowerment for Rural Development Project,Indonesia: Community Empowerment for Rural Development Project,32367-013,,['Loan'],,"Agriculture, natural resources and rural development;Finance;Public sector management","['Village Infrastructure', 'Community Participation', 'Information Sharing']",, 21 Feb 2005,,Closed,Completed,/projects/32367-013/main, 21 Feb 2005, 9 Mar 2005, 9 Mar 2005,," 5 May 2005
English
Bahasa Indonesia
",Completed,,,,,,/sites/default/files/page/42458/cerdp-final-rar.pdf
ADB-SPF,25,2004,Philippines, Sixth Road Project,Philippines: Sixth Road Project,23233,,['Loan'],,,"['Consultation', 'Information', 'Business Income']",, 27 Sep 2004,,Closed,Completed,/projects/ln1473/main, 27 Sep 2004, 28 Sep 2004, 28 Sep 2004,,,,,,,,,
ADB-SPF,25,2004,Sri Lanka, Southern Transport Development Project (STDP),Sri Lanka: Southern Transport Development Project (STDP),26522-013,,['Loan'],,Transport,"['Environmental Impact Assessment (EIA)', 'Social Impact Assessment (SIA)', 'Compensation and Resettlement']",, 9 Jun 2004,,Closed,Completed,/projects/26522-013/main, 9 Jun 2004, 16 Jun 2004, 16 Jun 2004,, 17 Sep 2004,Completed,,,,,,/sites/default/files/page/42458/conflict-management-report.pdf
ADB-SPF,25,2004,Nepal, Melamchi Water Supply Project (MWSP),Nepal: Melamchi Water Supply Project (MWSP),31624-023,,['Loan'],,Water and other urban infrastructure and services,"['Access to information', 'Environmental Impact Assessment (EIA)', 'Land acquisition, compensation and resettlement', 'Indigenous peoples', 'Social Uplift Program', 'Agriculture', 'Forestry']",, 3 May 2004,,Active,,/projects/31624-023/main, 3 May 2004, 3 May 2004, 3 May 2004,, 25 Jun 2004,,,,,,,/sites/default/files/page/42458/review-report.pdf
